id,text,created_at,lang,author_id,retweet_count,urls
1576320985628028928,"RT @cast_lobby: Galera, fiz um podcast sobre Stranger Things e está muito engraçado

Spotify: https://t.co/27hfPaatVl

Instagram: https://t…",2022-10-01T21:19:44Z,pt,1108720934163304449,1,['https://t.co/27hfPaatVl']
1576305420125102081,"Surtei que não é e mesmo ator
#HouseOfTheDragon 
#StrangerThings https://t.co/JPVrVMeR6u",2022-10-01T20:17:53Z,pt,1100485149609943042,0,['https://t.co/JPVrVMeR6u']
1576296942279458816,"Galera, fiz um podcast sobre Stranger Things e está muito engraçado

Spotify: https://t.co/27hfPaatVl

Instagram: https://t.co/sV8vR1RdqH

#StrangerThings #netflixbrasil #podcast #nerd #podcasts #lobbycast
@um_podcast @divulgacast @NetflixBrasil @strangertbr #PodcastAndChill https://t.co/RPljAd4t7J",2022-10-01T19:44:11Z,pt,1263560070308208641,1,"['https://t.co/27hfPaatVl', 'https://t.co/sV8vR1RdqH', 'https://t.co/RPljAd4t7J']"
1576283345931030528,"Muito boa série no @DisneyPlusBR uma história que até lembra #StrangerThings mas é bem legal de ver , efeitos visuais pra mim são simples mas não estragam os momentos , a história demora um pouco pra vc começar a entender mas garanto vale a pena !
Assistam ! https://t.co/BbYh0GVs2U",2022-10-01T18:50:10Z,pt,115327323,0,['https://t.co/BbYh0GVs2U']
1576275586489536513,"RT @tododiast5: Dia 93 esperando a 5° temporada de Stranger Things.
E um feliz aniversário para a nossa querida e icônica Priah Fergunson (…",2022-10-01T18:19:20Z,pt,1233109043071344641,3,[]
1576273538037604353,"Dia 93 esperando a 5° temporada de Stranger Things.
E um feliz aniversário para a nossa querida e icônica Priah Fergunson (Érica Sinclair), que está completando 16 anos de idade! 🥳🎉💗
#StrangerThings #StrangerThings5 https://t.co/bWSazy0cAL",2022-10-01T18:11:11Z,pt,1542963421204910083,3,['https://t.co/bWSazy0cAL']
1576269144601038848,"Achei na shopee

https://t.co/wjsOFoCmSF

#StrangerThings https://t.co/DU14nPXglm",2022-10-01T17:53:44Z,pt,42567062,0,"['https://t.co/wjsOFoCmSF', 'https://t.co/DU14nPXglm']"
1576254923502587904,"Vocês  acreditam, gente? 😔😪
#StrangerThings https://t.co/xIfDxVmM6u",2022-10-01T16:57:13Z,pt,1574413924480569344,0,['https://t.co/xIfDxVmM6u']
1576232531099234306,"ABRIU O CORAÇÃO! Durante sua participação em uma convenção de fãs na Bélgica, #CalebMcLaughlin, intérprete de #LucasSinclair, afirmou ter sofrido racismo por parte dos admiradores de #StrangerThings’ nos últimos anos…➡️Saiba mais: https://t.co/PT50AyOJh6 https://t.co/pN99NFRAL3",2022-10-01T15:28:15Z,pt,1190105779,0,"['https://t.co/PT50AyOJh6', 'https://t.co/pN99NFRAL3']"
1576231439695171584,"Eu comprei esse esmalte ontem,e por causa das eleições dia 02 (amanhã),não vou poder usar essa semana 😭Medo de me confundirem com bolsominion😭😭😭#amigosnãomentem #impala #StrangerThings https://t.co/IUeX880gIU",2022-10-01T15:23:54Z,pt,1574541238983970825,0,['https://t.co/IUeX880gIU']
1576231157628538880,"Finalmente tive um tempinho livre para terminar o Vecna.

#StrangerThings #strangerthingsseason4
#drawing #traditionalartist #ink #halloweenart #vecna https://t.co/Watn4opdWw",2022-10-01T15:22:47Z,pt,1485627776363286532,2,['https://t.co/Watn4opdWw']
1576228367635910657,Gente faz quanto tempo que lançou esses eps especiais de #TheWalkingDead ? Eu tô vendo agora o 10x17 ... Vou terminar essa Season e ver a temporada de #StrangerThings que tbm não vi ainda kkkk levei uma caralhada de spoiler .kkkkkkk pq eu sou assim ? https://t.co/Qex5IYDFxT,2022-10-01T15:11:42Z,pt,1547523879765254145,0,['https://t.co/Qex5IYDFxT']
1576220080051929089,"Para aqueles as pessoas chatas reclamarem, tomara que o ator Caleb McLaughlin (@calebmclaughlin), que é de #StrangerThings (@Stranger_Things), seja escolhido como Tarzan... #Disney #DisneyPlus #Netflix https://t.co/x0TXqNWXSz",2022-10-01T14:38:46Z,pt,100887413,0,['https://t.co/x0TXqNWXSz']
1576206630068199426,"Foi o Joseph Quinn (Eddie) e o Jamie Campbell Bower (Vecna) do Stranger Things, daí veio a galera do Matt Smith  (Daemon Targaryen) do House of the Dragon e agora a loucura do Evan Peters fazendo o Jaffrey Dahmer #StrangerThings #jaffreydahmer #HouseOfTheDragonHBO",2022-10-01T13:45:19Z,pt,120915813,0,[]
1576071679800811522,RT @Isabelesteddie: Max e o Eddie se encontrando no céu #StrangerThings https://t.co/ZaRJZLbgN7,2022-10-01T04:49:05Z,pt,1498421294760611841,2,['https://t.co/ZaRJZLbgN7']
1576066629167112192,"Todo dia uma foto aleatória, até lançarem a data da 5° temporada de Stranger Things.
Day 062. #StrangerThings https://t.co/V52wpL7gTm",2022-10-01T04:29:00Z,pt,1544031304991358980,0,['https://t.co/V52wpL7gTm']
1576053585607286784,"RT @sthingscombr: Estamos vendo em looping esses bloopers da quarta temporada de Stranger Things! 😍💕

#StrangerThings #TUDUM https://t.co/I…",2022-10-01T03:37:11Z,pt,1561888893913296896,23,[]
1576031873461284865,"mergulho pelado. Eles terão que usar sua amizade para expulsar o príncipe das trevas. Confira!

#officiallydareelest #odrreviews #dareelest #moviereviews #trending #socialmedia #nyc #atl #strangerthings #film #mybestfriendsexorcism #comedy #horror #elsiefisher #amiahmiller https://t.co/kTc5LAXdVC",2022-10-01T02:10:54Z,pt,1563696504438751233,0,['https://t.co/kTc5LAXdVC']
1576019295267848192,"RT @strangertbr: Agosto                          Setembro

O quadro do roteiro da 5ª e última temporada de #StrangerThings está finalizado!…",2022-10-01T01:20:55Z,pt,1511212501891002374,344,[]
